epoch,phase,train_loss,val_loss,val_acc
0,head,1.3921292115140844,0.9501823782920837,0.728110599078341
1,head,1.0550821699478008,0.7484205961227417,0.7926267281105991
2,head,0.9401269124613868,0.6443983316421509,0.8225806451612904
3,head,0.858384249386964,0.5648411512374878,0.8594470046082949
4,head,0.8302772387310311,0.543114185333252,0.8640552995391705
5,ft,0.8134958545366923,0.4899350702762604,0.8663594470046083
6,ft,0.7794522455445042,0.44646841287612915,0.8755760368663594
7,ft,0.7197944036236515,0.4054989516735077,0.8894009216589862
8,ft,0.6971519302438807,0.37959933280944824,0.9032258064516129
9,ft,0.6450986818031028,0.360940158367157,0.9078341013824884
10,ft,0.6256409530286435,0.34513917565345764,0.9147465437788018
11,ft,0.6229042057637815,0.3342152237892151,0.923963133640553
12,ft,0.5937132625668137,0.3060966730117798,0.9285714285714286
13,ft,0.5859475555243315,0.31492406129837036,0.9147465437788018
14,ft,0.5849335745528892,0.3054986000061035,0.9285714285714286
15,ft,0.5692233371513861,0.2941611409187317,0.9331797235023042
16,ft,0.56357917520735,0.28680452704429626,0.9354838709677419
17,ft,0.5450598917625569,0.3005211055278778,0.9354838709677419
18,ft,0.5474869973129697,0.2908514440059662,0.9354838709677419
19,ft,0.5330692496564653,0.28731679916381836,0.9470046082949308
20,ft,0.5373014515196836,0.28137364983558655,0.9400921658986175
21,ft,0.5445864951169049,0.28045758605003357,0.9354838709677419
22,ft,0.517739517821206,0.281586229801178,0.9470046082949308
23,ft,0.5269947283797793,0.28865063190460205,0.9447004608294931
24,ft,0.5286416334134562,0.28352710604667664,0.9447004608294931
25,ft,0.5166109778262951,0.2797803282737732,0.9493087557603687
26,ft,0.5328233567652879,0.26884716749191284,0.9470046082949308
27,ft,0.5170588791370392,0.2688171863555908,0.9470046082949308
28,ft,0.5164437249854759,0.27442362904548645,0.9447004608294931
29,ft,0.503185577414654,0.27380192279815674,0.9377880184331797
30,ft,0.5157869414046958,0.2763007581233978,0.9470046082949308
31,ft,0.5096108190439366,0.27023136615753174,0.9493087557603687
32,ft,0.5167999593196092,0.2706347107887268,0.9493087557603687
33,ft,0.511699081019119,0.27664679288864136,0.9493087557603687
34,ft,0.5112651663797873,0.27841368317604065,0.9447004608294931
35,ft,0.5178586686099017,0.27184250950813293,0.9470046082949308
